Month,IC
2001-06-01,0.3784359868649857
2001-07-01,-0.20834319809075957
2001-08-01,0.20798919118737616
2001-09-01,0.12515126192899617
2001-10-01,-0.004594483383741548
2001-11-01,-0.07308482981621216
2001-12-01,0.11660233137508202
2002-01-01,0.3318633601050125
2002-02-01,-0.24534216570578188
2002-03-01,0.1628863924480732
2002-04-01,0.11409451224693971
2002-05-01,0.038507379531367514
2002-06-01,-0.1705180627684485
2002-07-01,-0.18836771324367627
2002-08-01,0.26017272605029496
2002-09-01,0.2260703679635316
2002-10-01,0.29395493467385386
2002-11-01,-0.09635368713853425
2002-12-01,0.204681759470037
2003-01-01,0.046846294016821104
2003-02-01,-0.07960025854030468
2003-03-01,-0.0361280089546386
2003-04-01,-0.13119073033792825
2003-05-01,0.3259746770560157
2003-06-01,-0.15418483749533463
2003-07-01,0.19639079212664584
2003-08-01,-0.2629815500924251
2003-09-01,0.2856411017210731
2003-10-01,0.19752114567545434
2003-11-01,0.026795292041978024
2003-12-01,0.011350229943263889
2004-01-01,-0.05342051708606242
2004-02-01,-0.0053045747083751114
2004-03-01,0.11432299784433264
2004-04-01,0.20580197495262548
2004-05-01,0.0015471750660614153
2004-06-01,0.13199316259214455
2004-07-01,0.14321308468914573
2004-08-01,-0.04406042368981115
2004-09-01,0.00920317224624118
2004-10-01,0.028378808379722925
2004-11-01,0.08269241748447224
2004-12-01,0.1789157616555916
2005-01-01,0.0474997441622126
2005-02-01,0.030904828079538385
2005-03-01,0.19951711990117085
2005-04-01,-0.5051061955897215
2005-05-01,0.3790021931596128
2005-06-01,0.06805591006396793
2005-07-01,0.10793836926340517
2005-08-01,0.03696220902996742
2005-09-01,0.028453798464603205
2005-10-01,0.283330002147925
2005-11-01,-0.06816026992336408
2005-12-01,-0.07861606602223281
2006-01-01,0.054218884698349984
2006-02-01,0.0976769278677258
2006-03-01,-0.025254378579324277
2006-04-01,-0.0370493990612038
2006-05-01,0.011511616744228622
2006-06-01,0.11166221647013798
2006-07-01,0.039694422799456675
2006-08-01,0.16805525066668942
2006-09-01,-0.0880077205958685
2006-10-01,0.0955274413410553
2006-11-01,0.021704535384741958
2006-12-01,0.04831490781679003
2007-01-01,0.06849849871306854
2007-02-01,0.04909840990713493
2007-03-01,-0.07884414919200466
2007-04-01,0.02379198839305457
2007-05-01,0.019673793268071678
2007-06-01,-0.11965438833168282
2007-07-01,0.3192378999401852
2007-08-01,-0.22547230328937715
2007-09-01,0.03953606530683068
2007-10-01,0.13095897371870263
2007-11-01,-0.07446004315493987
2007-12-01,-0.08807617089446886
2008-01-01,0.027318770749872864
2008-02-01,0.0877587334305588
2008-03-01,-0.026163620053858968
2008-04-01,0.07942374301153628
2008-05-01,0.17925022152869713
2008-06-01,0.0930138723061567
2008-07-01,-0.19859349254817815
2008-08-01,-0.16632895114518065
2008-09-01,0.11065917891194062
2008-10-01,-0.11238182332834695
2008-11-01,-0.005907826726767227
2008-12-01,0.2983570998484871
2009-01-01,-0.17434535089688954
2009-02-01,0.1393039139204301
2009-03-01,-0.032235020149901296
2009-04-01,0.01160171231369976
2009-05-01,-0.06609099344941667
2009-06-01,0.053444017852097285
2009-07-01,-0.03722230120660099
2009-08-01,0.05485001893723482
2009-09-01,-0.026198991962585478
2009-10-01,0.09658887975600938
2009-11-01,0.01950091577643107
2009-12-01,0.002470739046893409
2010-01-01,0.03099063229025682
2010-02-01,0.01936920695635572
2010-03-01,0.06818011138723643
2010-04-01,0.028142375324678767
2010-05-01,0.07364219713102413
2010-06-01,-0.01907842189947128
2010-07-01,0.0030609567451730176
2010-08-01,0.10590834176358835
2010-09-01,0.04973454731446951
2010-10-01,0.015031432355955393
2010-11-01,-0.13898982538004193
2010-12-01,-0.010273745931766769
2011-01-01,0.08325219552720885
2011-02-01,0.06588106846940166
2011-03-01,0.05602946571739807
2011-04-01,-0.03394406727943519
2011-05-01,0.0333974047323628
2011-06-01,0.031872796146577696
2011-07-01,0.14672110199734598
2011-08-01,-0.14224429739220656
2011-09-01,-0.0589346360526932
2011-10-01,0.17748053607406183
2011-11-01,0.06551857841709396
2011-12-01,0.12345629602841802
2012-01-01,-0.08239413507441562
2012-02-01,-0.018976208854841116
2012-03-01,0.02403586689032499
2012-04-01,-0.08103133188302704
2012-05-01,-0.05646978613641034
2012-06-01,-0.0034280304356690545
2012-07-01,0.022181162920071048
2012-08-01,-0.01851270471635918
2012-09-01,0.15833911855118488
2012-10-01,0.21849291056487985
2012-11-01,0.08660540166728996
2012-12-01,-0.006478654204879316
2013-01-01,0.20350892927057318
2013-02-01,0.18900442839221
2013-03-01,-0.02867640798738076
2013-04-01,0.00742658896133444
2013-05-01,-0.044867563475754435
2013-06-01,0.02730641948767295
2013-07-01,0.07282041221375338
2013-08-01,-0.05861143500559582
2013-09-01,0.07682417556648471
2013-10-01,0.0032910450057594483
2013-11-01,-0.040118480326636376
2013-12-01,0.09337985383751382
2014-01-01,0.0933954326439698
2014-02-01,-0.03863207324472465
2014-03-01,0.2937071806579972
2014-04-01,0.2236838726648102
2014-05-01,-0.03593836202360658
2014-06-01,0.0033487002909728942
2014-07-01,0.08184286152556981
2014-08-01,0.074831450112577
2014-09-01,0.0354290994571049
2014-10-01,0.10367647975044726
2014-11-01,-0.1640267257966349
2014-12-01,-0.10038182707159658
2015-01-01,0.0750688963793509
2015-02-01,0.11941960287347
2015-03-01,-0.07072005266529995
2015-04-01,-0.031094092092560303
2015-05-01,0.025134740765290056
2015-06-01,0.16514244900902314
2015-07-01,0.2212360327440718
2015-08-01,0.038734078346817774
2015-09-01,-0.005967436160537951
2015-10-01,-0.08385982095077711
2015-11-01,0.015345351222535974
2015-12-01,0.019110162284423474
2016-01-01,-0.038013224005927944
2016-02-01,0.04238497979016542
2016-03-01,-0.09449587371972167
2016-04-01,0.06257569128274439
2016-05-01,0.1794294859031586
2016-06-01,-0.08939237716297545
2016-07-01,0.036042778134407434
2016-08-01,-0.04832913895809819
2016-09-01,-0.04193121956031854
2016-10-01,0.1063276676864976
2016-11-01,0.011672856824032718
2016-12-01,-0.10338185298687876
2017-01-01,0.0774404449290321
