Month,IC,cumulative_IC
2006-05-01,-0.16550604234664548,-0.16550604234664548
2006-06-01,-0.1755619540877941,-0.3410679964344396
2006-07-01,0.20122001384473345,-0.13984798258970613
2006-08-01,-0.12890113390734442,-0.2687491164970506
2006-09-01,0.04557232972865337,-0.2231767867683972
2006-10-01,-0.02993904246510809,-0.2531158292335053
2006-11-01,0.009004162275792545,-0.24411166695771275
2006-12-01,0.047378678446983145,-0.1967329885107296
2007-01-01,-0.1953987137613806,-0.3921317022721102
2007-02-01,-0.17649785509045518,-0.5686295573625654
2007-03-01,0.018890671549997542,-0.5497388858125678
2007-04-01,-0.18047307098466078,-0.7302119567972286
2007-05-01,0.06351222267923196,-0.6666997341179967
2007-06-01,-0.03219556580549077,-0.6988952999234874
2007-07-01,0.22956987405584534,-0.4693254258676421
2007-08-01,0.17044816933772391,-0.29887725652991814
2007-09-01,0.09729012938468695,-0.2015871271452312
2007-10-01,-0.07050314002298275,-0.27209026716821394
2007-11-01,0.06524063860308735,-0.2068496285651266
2007-12-01,-0.0030904156504542716,-0.20994004421558085
2008-01-01,-0.0345832688807038,-0.24452331309628467
2008-02-01,-0.14387332413960816,-0.3883966372358928
2008-03-01,0.11485011212668329,-0.2735465251092095
2008-04-01,-0.0918482434162843,-0.3653947685254938
2008-05-01,-0.1501062710458768,-0.5155010395713706
2008-06-01,0.3683786489022097,-0.14712239066916089
2008-07-01,0.009335693039038143,-0.13778669763012275
2008-08-01,0.06812916698040451,-0.06965753064971823
2008-09-01,0.08991579376660556,0.02025826311688733
2008-10-01,0.16624109823349567,0.186499361350383
2008-11-01,-0.17792572154640654,0.008573639803976463
2008-12-01,0.2080680331132792,0.21664167291725567
2009-01-01,0.13946646116705969,0.35610813408431535
2009-02-01,-0.2557218475532754,0.10038628653103993
2009-03-01,-0.1429073900020931,-0.04252110347105317
2009-04-01,-0.29453976877306737,-0.3370608722441205
2009-05-01,-0.06752114245590837,-0.40458201470002886
2009-06-01,0.0016006604810264817,-0.4029813542190024
2009-07-01,-0.06723782700067128,-0.47021918121967365
2009-08-01,0.04642379502591767,-0.423795386193756
2009-09-01,0.039218476067336715,-0.3845769101264193
2009-10-01,0.01343414608626785,-0.37114276404015145
2009-11-01,0.16176832511017597,-0.20937443892997548
2009-12-01,0.08327810193070209,-0.1260963369992734
2010-01-01,-0.06572875397469652,-0.1918250909739699
2010-02-01,-0.13372543920233892,-0.32555053017630886
2010-03-01,0.09885966730617748,-0.22669086287013138
2010-04-01,0.05729438399286483,-0.16939647887726655
2010-05-01,0.08042815235278346,-0.0889683265244831
2010-06-01,0.1677960136840837,0.0788276871596006
