Month,IC,IC_p,alpha,R2_train,R2_test,MSE_train,MSE_test,N_train,N_test,jb_p,bp_p,dw,normality_ok,homosced_ok,autocorr_ok,post_fails,pre_vif_max,pre_flags,post_flags
2001-10,0.3759846307095287,6.28698021381396e-26,323.745754281764,0.036637638893815105,-0.09728409790185122,0.03296179652376437,0.05372580930752211,738,730,3.3194920385419413e-22,5.243791509684248e-10,2.0595693675293765,False,False,True,2,4.9318467807144035,,non-normal|heteroscedastic
2001-11,-0.11963737780519124,0.0011921650387946878,44.98432668969444,0.268961986148046,-2.30313522109693,0.0357934731796987,0.08038543906312524,730,731,5.461952465651221e-05,1.0681767560584112e-05,2.025743003299556,False,False,True,2,4.619373074530072,,non-normal|heteroscedastic
2001-12,0.14113631914796715,0.0001316801478686407,244.205309454865,0.05471462431568208,-0.08029654032081379,0.023004562295545622,0.02438742526467673,731,729,2.922830458838864e-219,8.148961763904976e-07,2.044306060837217,False,False,True,2,5.585453136992646,,non-normal|heteroscedastic
2002-01,0.11854015997427939,0.0015551105866314753,323.745754281764,0.03418716809955813,-0.019377918899789792,0.02180298406828473,0.028401533088697948,729,710,9.3844929236792e-134,0.017162806970208094,1.9650001056686381,False,False,True,2,6.123528933475998,,non-normal|heteroscedastic
2002-02,-0.05185327235625295,0.16783569336993107,244.205309454865,0.0433894447166151,-0.054277104984190805,0.026652731862391508,0.027700858446581347,710,709,8.991755707385908e-106,0.03712305774610727,1.8608391270204612,False,False,True,2,4.833018893864623,,non-normal|heteroscedastic
2002-03,-0.1680771890650304,6.912478180075175e-06,323.745754281764,0.03170035849437647,-0.3198575113225679,0.025441822815288166,0.05273006510933165,709,708,3.758860017251806e-142,0.16202273848084958,1.9786948081279596,False,True,True,1,4.752174313675582,,non-normal
2002-04,0.18952962032891982,4.6431935147364e-07,244.205309454865,0.05087900682204316,-0.527898905324167,0.03791864753397297,0.054272597460103364,708,697,2.2610909782677454e-20,0.004683323057014497,1.8943905110134795,False,False,True,2,4.776669281326303,,non-normal|heteroscedastic
2002-05,0.3429790529515068,1.0624925073267154e-20,79.06043210907701,0.12621933879326475,-0.9386409059602014,0.0310376203090706,0.10390228102633142,697,698,7.38427384838922e-109,3.571989586177619e-07,1.9011626698430817,False,False,True,2,4.612317738769331,,non-normal|heteroscedastic
2002-06,-0.24959145603413668,2.2555132084312244e-11,8.286427728546842,0.26813495624757033,-6.303960111852019,0.039224617212773476,0.14852454607773338,698,698,0.004846676613438633,0.0031498682719579866,1.9467523116191803,False,False,True,2,5.098920872063198,,non-normal|heteroscedastic
2002-07,0.19382251944581433,2.462020604037157e-07,59.636233165946365,0.12513919814908703,-1.480116385681706,0.0177901167977711,0.03200116716929113,698,698,6.290539409497525e-59,0.40975232124327265,2.000170468688408,False,True,True,1,5.042459886135942,,non-normal
2002-08,0.01847758106832527,0.6265153135175756,138.9495494373136,0.08787265983101333,-0.5975870987450316,0.011769261983407057,0.018467503234354855,698,696,7.064520501439475e-47,4.467039354795939e-07,1.9537066080186973,False,False,True,2,5.823497779940147,,non-normal|heteroscedastic
2002-09,0.10262507957429971,0.004287456699039942,568.9866029018293,0.040863004470306885,-0.0651544459044946,0.011087261271105764,0.0139411505241427,696,773,5.537762128417202e-94,8.279019445099151e-05,2.034324097705499,False,False,True,2,4.1916097940040755,,non-normal|heteroscedastic
2002-10,-0.09233144616110293,0.010668628724514935,79.06043210907701,0.05726449627868113,-0.9947736737608568,0.012338884386547289,0.04268667417317426,773,764,5.735310980410076e-17,1.2631370813128425e-06,2.0859010696444384,False,False,True,2,4.826881683484157,,non-normal|heteroscedastic
2002-11,-0.25085486050488776,1.9896607072455955e-12,138.9495494373136,0.1538924212525563,-0.685954949844362,0.01810607338794038,0.028115849243839638,764,764,1.8446678540333482e-51,3.621029823589742e-05,1.9099031210297124,False,False,True,2,4.839265571689915,,non-normal|heteroscedastic
2002-12,0.21696473350995168,1.399396854790339e-09,138.9495494373136,0.07607381748484587,-0.39136197740562206,0.01540786677747848,0.02275770388019918,764,763,2.4262105213828754e-267,0.09260584481764807,1.819777106939525,False,True,True,1,4.64047988288398,,non-normal
2003-01,0.01152318630998998,0.7548065459185076,138.9495494373136,0.10930492375288148,-0.10613421600837292,0.014568584683174806,0.012476642914250118,763,737,2.07518592456162e-142,0.010818515460300205,1.9409049728314176,False,False,True,2,4.895722539523679,,non-normal|heteroscedastic
2003-02,0.3457604333352642,4.8795146819218645e-22,568.9866029018293,0.03178172756498954,-0.8084861425848409,0.010921019776258619,0.02774978293071895,737,734,4.7889028606517356e-189,0.03029975447953828,2.0268949092729374,False,False,True,2,4.514241583479477,,non-normal|heteroscedastic
2003-03,-0.1041679065563736,0.003437992018539374,104.81131341546852,0.08379102535529992,-2.266316931442071,0.014058498744827555,0.06246158981166986,734,787,0.0,0.06998397109387348,1.9556460638245228,False,True,True,1,4.48301194381653,,non-normal
2003-04,0.21647543974886194,1.3831644330501281e-09,323.745754281764,0.03821006216607781,-0.38417089345763555,0.01839225336760293,0.04807459670481425,787,767,1.5019964869010016e-81,0.01594666686739835,1.9458411318896138,False,False,True,2,4.240017449761083,,non-normal|heteroscedastic
2003-05,-0.015631952842254604,0.6657699017595132,79.06043210907701,0.10698706819821935,-0.134869179982662,0.031015849814117164,0.03692600418918734,767,766,4.095541189392786e-05,6.915522974378138e-05,1.9819701333730462,False,False,True,2,4.193768192869476,,non-normal|heteroscedastic
2003-06,-0.04171710407319742,0.24851515288365525,244.205309454865,0.043241547178470285,-0.4345827393648558,0.03113069529077171,0.044903979411235764,766,767,1.0630281955983595e-19,0.037844597276277675,1.9650588578117107,False,False,True,2,4.380631262780682,,non-normal|heteroscedastic
2003-07,0.05277422847383594,0.14397196481927052,568.9866029018293,0.019159763210643832,-0.06495898221707597,0.03070135210047254,0.037392943599757617,767,768,2.9066191472000755e-61,0.26238466105220887,1.986379513189894,False,True,True,1,4.529374494448905,,non-normal
2003-08,-0.24277576781669236,9.435355404826269e-12,79.06043210907701,0.04106472473070899,-0.9850777962658597,0.033670228865822785,0.0642129049441955,768,767,2.448457149651427e-14,1.5865839554934168e-07,1.90463463942951,False,False,True,2,4.562089420232472,,non-normal|heteroscedastic
2003-09,0.28005729565179,8.306483014259452e-18,44.98432668969444,0.23142701220647044,-0.10252082583181865,0.02486164738767373,0.03531769198495683,767,907,5.104181883925296e-59,0.33098896297709773,1.9353106064324432,False,True,True,1,4.579269790403429,,non-normal
2003-10,-0.1657899860201869,5.857348806974019e-07,244.205309454865,0.05546073630435022,-0.7814595848052295,0.030256976558907682,0.07428062808557324,907,898,6.942760180938033e-72,0.25742317646855445,1.9536453263948181,False,True,True,1,4.866573265291441,,non-normal
2003-11,0.325139793181601,1.4812451069473412e-23,244.205309454865,0.06786499166788107,-0.07293192227042722,0.03886676659410769,0.045836830135843186,898,898,0.00022426823973555429,1.1239256784225737e-07,1.909922554666671,False,False,True,2,4.481893575910075,,non-normal|heteroscedastic
2003-12,-0.12725194564941528,0.00013268475481474024,33.9322177189533,0.16671193302480658,-8.2842355610013,0.03559898143336267,0.18901029631308974,898,897,0.09036923835886002,0.008492246928839355,1.9408468861311934,True,False,True,1,4.891398948405922,,heteroscedastic
2004-01,0.26109212957602634,3.0442407512680097e-15,323.745754281764,0.08463268546401892,-0.41623435042069956,0.018635228093792953,0.02095001351427363,897,884,0.0,0.019652864226582734,1.9083429237540273,False,False,True,2,5.181610097023078,,non-normal|heteroscedastic
2004-02,0.18784152168951151,1.8316777748943623e-08,244.205309454865,0.06602966825143564,0.023568772442106867,0.013815998084109923,0.012595056727035104,884,884,6.80623147087588e-291,0.162652219499472,1.9998726264181756,False,True,True,1,6.072995730417783,,non-normal
2004-03,-0.024883074492288108,0.45567619823583194,138.9495494373136,0.04791208837238892,-0.9414519933474805,0.012281050541640075,0.050546830310146076,884,901,1.7921344370776488e-144,0.012720297888161095,1.897779182157933,False,False,True,2,5.169381493181905,,non-normal|heteroscedastic
2004-04,-0.05776924431137718,0.08676638984290995,1000.0,0.01309015795342039,-3.1136204227678066,0.02569477096949937,0.0696724934326286,901,880,4.668581579874617e-59,1.1086728720596114e-05,1.8748976297119642,False,False,True,2,5.230987757313368,,non-normal|heteroscedastic
2004-05,-0.059269677829677674,0.07904281229256109,104.81131341546852,0.059962649318075045,-1.4009677660103352,0.015921436450314134,0.026482148043579398,880,879,2.886364546776427e-267,0.04784350295786716,1.9734429884291327,False,False,True,2,5.1036637267883025,,non-normal|heteroscedastic
2004-06,0.07394363453491447,0.028368102301374747,754.3120063354608,0.014589696325208457,-0.5836157166780291,0.010868859596956385,0.03488616060163023,879,879,1.5177144639322453e-150,0.7534663381783778,2.0709169776411356,False,True,True,1,4.925105103456499,,non-normal
2004-07,0.12071547843057605,0.0003345087601481623,323.745754281764,0.03403052520828265,-0.04606216840751398,0.02127976243159989,0.02888687344018804,879,879,1.3163449167252058e-81,0.0648461709936189,1.863423910865602,False,True,True,1,4.137836221571236,,non-normal
2004-08,0.20779033102135783,4.977972095289198e-10,323.745754281764,0.04947456414990958,0.028372873796735476,0.026248638748576227,0.03181810232034362,879,879,1.2740425304566482e-25,2.409559000204257e-07,1.9485355619446376,False,False,True,2,4.231741530077374,,non-normal|heteroscedastic
2004-09,-0.09848541313062864,0.0014268935706423331,138.9495494373136,0.08573209465453602,-0.5797898454556343,0.029939746406794452,0.043182832972206875,879,1046,9.098364459212811e-36,1.4030920149743096e-08,2.0356820268776974,False,False,True,2,4.320620492573319,,non-normal|heteroscedastic
2004-10,0.10551217507851952,0.0006309908563850014,138.9495494373136,0.03509541602077293,-0.6369279812432049,0.026375225542783678,0.05856613720610441,1046,1046,9.57574374168812e-143,3.6891307663724985e-05,1.9541324519058374,False,False,True,2,4.649605920700032,,non-normal|heteroscedastic
2004-11,0.10219395870728969,0.000933405965848827,44.98432668969444,0.11811337200497207,-0.0436616339684206,0.031552208678209355,0.03617710279662688,1046,1046,3.2489767536175134e-16,6.000184012323063e-11,2.008882441180713,False,False,True,2,5.142696067204572,,non-normal|heteroscedastic
2004-12,-0.12167274980050613,8.103819440433575e-05,104.81131341546852,0.052877790853159135,-1.4901649782873307,0.032830695702579,0.04226501882296295,1046,1044,1.2034343967567112e-31,6.960595310460807e-07,1.9672702442015901,False,False,True,2,4.8759620641769255,,non-normal|heteroscedastic
2005-01,0.04839483105573041,0.11811675376344513,429.1934260128778,0.02722054731643575,-0.3408947855237594,0.016510770264924344,0.03463639091204441,1044,1044,2.893729122365332e-258,6.404293032668412e-10,1.9479281669348618,False,False,True,2,4.699869529826188,,non-normal|heteroscedastic
2005-02,0.07899514452270247,0.010669392058318069,568.9866029018293,0.01303720081460047,-0.297509602636036,0.02549404300567724,0.030122833964703256,1044,1044,9.756232477387639e-145,3.2727268462865498e-06,2.1249888970483806,False,False,True,2,4.979505405308166,,non-normal|heteroscedastic
2005-03,0.1618761088141831,1.1169937126484735e-07,244.205309454865,0.030264041052132207,-0.08390179774950557,0.022513278685293042,0.02326628859917555,1044,1063,2.7541402680566666e-293,6.892633055130928e-06,2.021925244003176,False,False,True,2,4.962748780349305,,non-normal|heteroscedastic
2005-04,-0.049752360844724466,0.10579642539933083,568.9866029018293,0.020737549838090397,-0.5847619660783709,0.021020172516650983,0.05313379544320864,1063,1058,3.162787388213365e-239,0.035618571508037135,1.9292338024273339,False,False,True,2,5.081692388239819,,non-normal|heteroscedastic
2005-05,-0.004735358617179152,0.8777316534522881,79.06043210907701,0.08419824657808084,-0.8564196908842654,0.03070494123055303,0.043605870588021116,1058,1058,2.5179679453714294e-30,9.625212162203463e-11,1.9196581670276447,False,False,True,2,4.872414148221553,,non-normal|heteroscedastic
2005-06,0.009522632186815315,0.7569190001445297,429.1934260128778,0.026518989605825327,-0.25847290373010723,0.022866320136328937,0.03492790820854074,1058,1059,2.922259219817614e-188,9.319655226526122e-08,1.9895885077647826,False,False,True,2,5.046506559863834,,non-normal|heteroscedastic
2005-07,0.25079167417649373,1.2263602326183555e-16,323.745754281764,0.0230232495018472,-0.10049216518872561,0.027115207774545843,0.03958260089541463,1059,1058,9.659534439575419e-84,0.0017617680163377622,1.9590962358048682,False,False,True,2,5.545178306781835,,non-normal|heteroscedastic
2005-08,-0.4210582421253534,8.489928161125584e-47,79.06043210907701,0.10795616651433804,-2.926283635033257,0.03208511260597969,0.10487926375833462,1058,1060,3.821954634945046e-24,0.00031232675477768174,2.004938273455743,False,False,True,2,5.187606469874388,,non-normal|heteroscedastic
2005-09,0.2827119300420512,8.718882826861587e-25,104.81131341546852,0.1469979060214639,-0.6131665352280642,0.022785473469755797,0.020420120634794044,1060,1271,6.839557915983845e-126,0.20883349423429315,1.970685497431892,False,True,True,1,5.176900815297898,,non-normal
2005-10,0.07880838269841468,0.0045598881288079676,79.06043210907701,0.07818407211593681,-3.1182168386623514,0.011668722378874516,0.07226541693783575,1271,1294,8.564741854561934e-130,2.2164979598744366e-05,1.9583354221946148,False,False,True,2,5.672319349653565,,non-normal|heteroscedastic
2005-11,0.19200128008490774,3.2855812078196397e-12,104.81131341546852,0.055141600972799965,-0.24343350826193166,0.016580133787975813,0.025804820835705542,1294,1294,3.1839466618157846e-108,5.205739882641367e-08,1.9978228539027454,False,False,True,2,5.710177388905121,,non-normal|heteroscedastic
2005-12,0.13970260751920582,4.5277387645784913e-07,184.20699693267164,0.09281373343601718,-0.04819333339247667,0.018826723679031557,0.025853922974649925,1294,1294,4.604791379352078e-202,5.165864576881559e-07,1.9310890480751628,False,False,True,2,5.678433590806157,,non-normal|heteroscedastic
