Month,IC,cumulative_IC
2006-05-01,-0.1291750308920325,-0.1291750308920325
2006-06-01,-0.03757483669277376,-0.16674986758480626
2006-07-01,0.11525425725427757,-0.051495610330528685
2006-08-01,-0.08846811170529113,-0.1399637220358198
2006-09-01,0.06144400341454137,-0.07851971862127843
2006-10-01,0.0314014331409129,-0.047118285480365535
2006-11-01,0.032280572936092086,-0.014837712544273449
2006-12-01,0.17612205268203032,0.1612843401377569
2007-01-01,-0.1415299491896087,0.01975439094814818
2007-02-01,-0.19275601206063303,-0.17300162111248485
2007-03-01,-0.003017192244457067,-0.17601881335694192
2007-04-01,-0.08009373984289818,-0.2561125531998401
2007-05-01,0.0672059299090049,-0.1889066232908352
2007-06-01,0.042325488140932226,-0.14658113514990298
2007-07-01,0.21230194307073702,0.06572080792083404
2007-08-01,0.017185421905487646,0.08290622982632169
2007-09-01,-0.13041816979858753,-0.04751193997226584
2007-10-01,0.1373043685563011,0.08979242858403526
2007-11-01,0.32094114916571764,0.4107335777497529
2007-12-01,-0.15480021476483044,0.2559333629849224
2008-01-01,-0.16986992053482036,0.08606344245010206
2008-02-01,-0.12439344390362113,-0.03833000145351907
2008-03-01,0.10512032338072408,0.066790321927205
2008-04-01,-0.007740808459889842,0.059049513467315164
2008-05-01,0.050279650017824515,0.10932916348513969
2008-06-01,0.1406356142331107,0.24996477771825037
2008-07-01,-0.07786007792346084,0.17210469979478954
2008-08-01,0.07777831085617888,0.2498830106509684
2008-09-01,0.1433268239745472,0.3932098346255156
2008-10-01,0.10571552846786063,0.49892536309337626
2008-11-01,-0.13187861549568283,0.3670467475976934
2008-12-01,0.15507206002769786,0.5221188076253913
2009-01-01,0.17809700623337252,0.7002158138587639
2009-02-01,-0.24448332457699867,0.4557324892817652
2009-03-01,-0.08315448853843815,0.37257800074332703
2009-04-01,-0.24301563376683802,0.129562366976489
2009-05-01,-0.08483418456228874,0.044728182414200277
2009-06-01,-0.07293998271643162,-0.028211800302231346
2009-07-01,0.15710691038725522,0.12889511008502386
2009-08-01,-0.0014107622738030723,0.12748434781122078
2009-09-01,0.0642802894735212,0.19176463728474197
2009-10-01,-0.037322814706327596,0.15444182257841438
2009-11-01,0.19353181543573003,0.3479736380141444
2009-12-01,0.12385714706040875,0.4718307850745531
2010-01-01,-0.02550165999141149,0.4463291250831416
2010-02-01,0.004796360654894614,0.45112548573803624
2010-03-01,0.24330248512700334,0.6944279708650396
2010-04-01,0.010526557296738475,0.7049545281617781
2010-05-01,0.024131939036212226,0.7290864671979903
2010-06-01,0.1350993929308932,0.8641858601288835
2010-07-01,0.04504396755416015,0.9092298276830437
2010-08-01,0.015050099176907831,0.9242799268599515
2010-09-01,0.06444631973863542,0.988726246598587
2010-10-01,0.03335892737348671,1.0220851739720738
2010-11-01,-0.1074757918534332,0.9146093821186405
2010-12-01,-0.013549461888363474,0.901059920230277
2011-01-01,0.00042764936178604134,0.9014875695920631
2011-02-01,-0.2048505737337344,0.6966369958583287
2011-03-01,0.22261212409995867,0.9192491199582874
2011-04-01,-0.056400753105547576,0.8628483668527398
2011-05-01,-0.04156280998347663,0.8212855568692632
2011-06-01,0.044499120451090696,0.8657846773203539
2011-07-01,-0.054436796835184376,0.8113478804851695
2011-08-01,0.09810093817701938,0.9094488186621889
2011-09-01,-0.0313838656188002,0.8780649530433886
2011-10-01,0.01939447428843139,0.89745942733182
2011-11-01,0.011598032167614927,0.909057459499435
2011-12-01,0.03417844655786303,0.943235906057298
2012-01-01,-0.05593160113818902,0.8873043049191089
2012-02-01,0.049024765224247584,0.9363290701433565
2012-03-01,0.16132678007728746,1.097655850220644
2012-04-01,0.12429841594582808,1.221954266166472
2012-05-01,-0.07240711172747195,1.149547154439
2012-06-01,0.0158768119814286,1.1654239664204284
2012-07-01,0.041535047407924915,1.2069590138283535
2012-08-01,-0.042266890500742046,1.1646921233276115
2012-09-01,0.0502669436131118,1.2149590669407233
2012-10-01,-0.10417280904465187,1.1107862578960714
2012-11-01,-0.053556120177220716,1.0572301377188507
2012-12-01,-0.0321434822078459,1.0250866555110048
2013-01-01,0.07609307817119888,1.1011797336822036
2013-02-01,0.046089941192514125,1.1472696748747178
2013-03-01,0.0487146369193614,1.1959843117940792
2013-04-01,0.11268364416733183,1.308667955961411
2013-05-01,0.15952281011179162,1.4681907660732025
2013-06-01,0.1895549884937559,1.6577457545669585
2013-07-01,0.0491002840133361,1.7068460385802946
2013-08-01,0.003287747072523446,1.710133785652818
2013-09-01,0.0390502687332763,1.7491840543860944
2013-10-01,0.10008042142428317,1.8492644758103776
2013-11-01,0.025229835458225804,1.8744943112686034
2013-12-01,0.13148962354086624,2.0059839348094695
2014-01-01,0.14640250117985515,2.1523864359893246
2014-02-01,0.11131730371559785,2.2637037397049222
2014-03-01,0.06772541540124039,2.3314291551061626
2014-04-01,-0.11312967457383422,2.218299480532328
2014-05-01,0.17865658930644107,2.3969560698387693
2014-06-01,0.17812519772112054,2.5750812675598898
2014-07-01,0.19567817461030565,2.7707594421701955
2014-08-01,0.2609417306968234,3.031701172867019
2014-09-01,-0.004865908496521857,3.026835264370497
2014-10-01,0.10280622948576118,3.1296414938562584
2014-11-01,0.073861073997933,3.2035025678541915
2014-12-01,0.08500685616172815,3.2885094240159196
2015-01-01,-0.06677424021979372,3.2217351837961257
2015-02-01,0.1167318594120411,3.338467043208167
2015-03-01,0.08560239241593466,3.4240694356241015
2015-04-01,0.12246161685733088,3.5465310524814324
2015-05-01,0.10372642398306738,3.6502574764644997
2015-06-01,0.23470534951976957,3.8849628259842692
2015-07-01,0.02538529969981356,3.9103481256840826
2015-08-01,0.030562496079527764,3.9409106217636105
2015-09-01,0.07456171410692514,4.015472335870536
2015-10-01,0.11953416251475425,4.13500649838529
2015-11-01,0.1424739408829615,4.277480439268252
2015-12-01,-0.0012574121847989895,4.276223027083453
2016-01-01,-0.20242148894137002,4.0738015381420825
2016-02-01,0.04148634709228158,4.115287885234364
2016-03-01,0.1277036824294431,4.2429915676638075
